Date/Time, Site, Station, Sensor, Value
2017-11-13 07:11:53,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.74
2017-11-13 08:11:07,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.67
2017-11-13 08:11:11,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.7
2017-11-13 08:11:16,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.83
2017-11-13 08:11:20,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.36
2017-11-13 08:11:25,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.78
2017-11-13 09:11:30,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.67
2017-11-13 09:11:34,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.83
2017-11-13 09:11:39,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.04
2017-11-13 09:11:43,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.45
2017-11-13 09:11:48,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.53
2017-11-13 10:11:52,Hull Springs Farm,Dock,Pressure Transducer(corrected),52.04
2017-11-13 10:11:01,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.64
2017-11-13 10:11:06,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.97
2017-11-13 10:11:11,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.81
2017-11-13 11:11:15,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.97
2017-11-13 11:11:19,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.66
2017-11-13 11:11:29,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.32
2017-11-13 11:11:38,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.84
2017-11-13 12:11:43,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.43
2017-11-13 12:11:52,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.53
2017-11-13 12:11:56,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.89
2017-11-13 13:11:14,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.82
2017-11-13 13:11:19,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.23
2017-11-13 13:11:29,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.6
2017-11-13 14:11:33,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.65
2017-11-13 14:11:37,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.83
2017-11-13 14:11:51,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.08
2017-11-13 15:11:56,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.33
2017-11-13 15:11:00,Hull Springs Farm,Dock,Pressure Transducer(corrected),33
2017-11-13 15:11:05,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.87
2017-11-13 15:11:09,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.12
2017-11-13 15:11:14,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.82
2017-11-13 16:11:24,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.58
2017-11-13 16:11:28,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.6
2017-11-13 16:11:33,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.46
2017-11-13 16:11:37,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.43
2017-11-13 16:11:42,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.8
2017-11-13 17:11:46,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.97
2017-11-13 17:11:51,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.3
2017-11-13 17:11:55,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.15
2017-11-13 17:11:00,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.76
2017-11-13 17:11:05,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.19
2017-11-13 18:11:09,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.95
2017-11-13 18:11:13,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.46
2017-11-13 18:11:18,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.02
2017-11-13 18:11:23,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.97
2017-11-13 18:11:27,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.35
2017-11-13 18:11:31,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.37
2017-11-13 19:11:41,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.66
2017-11-13 19:11:50,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.26
2017-11-13 19:11:54,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.64
